IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
18525418,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.047582700,-85.542141000,22.817,10/31/2016 12:00:00 AM,1622,2,2,0,0,CLEAR,DRY,True,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,11/2/2016 7:47:13 AM,False,7719,Accepted,
18521040,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,9540,OLD MILL,RD,,,,,,,,38.039041500,-85.556775100,21.805,10/31/2016 12:00:00 AM,1450,1,1,0,2,CLEAR,DRY,False,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,11/1/2016 10:45:59 AM,False,7704,Accepted,
18521042,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,SNAPP,,,,,38.048849200,-85.541066600,22.922,10/29/2016 12:00:00 AM,1610,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - ONE VEHICLE TURNING LEFT,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,11/1/2016 10:45:53 AM,False,7724,Accepted,
18511032,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,10731,OLD MILL,RD,,,,,,,,38.048324900,-85.541500500,22.879,10/27/2016 12:00:00 AM,1950,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,CURVE & LEVEL,DARK-HWY LIGHTED/ON,,,10/30/2016 12:46:33 PM,False,7729,Accepted,
18511031,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.037535600,-85.565640900,21.306,10/27/2016 12:00:00 AM,1811,3,3,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,10/30/2016 12:46:28 PM,False,7720,Accepted,
18549264,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY1442,4724,RIDGE,RD,,,,,,,,37.999332285,-85.586080708,4.726,10/27/2016 12:00:00 AM,0722,1,1,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,11/4/2016 3:11:15 PM,False,1022,Accepted,
18521954,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.050200000,-85.539950000,23.032,10/26/2016 12:00:00 AM,2011,3,3,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,10/30/2016 12:46:22 PM,True,7720,Accepted,
18525957,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,E,,,,,,,37.994112700,-85.703165800,13.035,10/26/2016 12:00:00 AM,0948,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC ONE VEHICLE STOPPED,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,11/2/2016 8:46:08 AM,False,060,Accepted,
18511030,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.049164600,-85.540815300,22.948,10/26/2016 12:00:00 AM,2013,2,2,0,3,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,10/30/2016 12:46:17 PM,False,7720,Accepted,
18492579,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,13071,OLD MILL,RD,,,,,,,,38.062199390,-85.504309227,25.267,10/25/2016 12:00:00 AM,1505,4,4,0,1,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,10/26/2016 9:48:49 AM,False,1013,Accepted,
18498594,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,,4TH,ST,W,,,,,,,37.996227400,-85.728768100,11.430,10/25/2016 12:00:00 AM,1828,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DUSK,,,10/27/2016 10:46:56 AM,False,073,Accepted,
18505225,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.994407100,-85.702780200,0.527,10/25/2016 12:00:00 AM,1400,2,2,0,0,CLEAR,DRY,False,REAR END - ON RAMP,REAR END,CURVE & GRADE,DAYLIGHT,I 0065,KY0044,10/28/2016 1:46:51 PM,False,062,Accepted,
18498592,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,KY0044,400,4TH,ST,E,,,,,,,37.990192900,-85.710750100,12.499,10/24/2016 12:00:00 AM,1037,2,2,0,0,CLEAR,DRY,True,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & GRADE,DAYLIGHT,,,10/27/2016 10:46:47 AM,False,046,Accepted,
18498591,0150100,SHEPHERDSVILLE POLICE DEPT.,Accepted,BULLITT,I 0065,,,,,,,,,,,37.994506500,-85.703190000,0.544,10/23/2016 12:00:00 AM,1647,2,2,0,0,CLEAR,DRY,False,REAR END - ON RAMP,REAR END,STRAIGHT & GRADE,DAYLIGHT,I 0065,KY0044,10/27/2016 10:46:42 AM,False,069,Accepted,
18511026,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.037549600,-85.565675800,21.304,10/22/2016 12:00:00 AM,1410,3,3,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,10/30/2016 12:45:53 PM,False,7719,Accepted,
18474629,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.016261285,-85.636922976,17.045,10/21/2016 12:00:00 AM,1904,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DUSK,,,10/22/2016 5:32:19 AM,False,1052,Accepted,
18466179,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,3997,OLD MILL,RD,,,,,,,,38.012447808,-85.652461724,16.141,10/20/2016 12:00:00 AM,1505,2,2,0,2,CLOUDY,WET,False,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,10/20/2016 5:35:28 PM,False,1014,Accepted,
18511023,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,9000,OLD MILL,RD,,,,,,,,38.037897600,-85.561761800,21.521,10/20/2016 12:00:00 AM,1734,3,3,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,10/30/2016 12:45:35 PM,False,7723,Accepted,
18471778,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,SHEPHERDSVILLE,RD,,,,,,,,38.003829544,-85.774405064,8.612,10/20/2016 12:00:00 AM,1338,1,1,0,0,RAINING,WET,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,10/21/2016 12:52:53 PM,False,1012,Accepted,
18478533,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,11000,OLD MILL,RD,,,,,,,,38.055979100,-85.530888100,23.681,10/20/2016 12:00:00 AM,1015,1,1,0,0,RAINING,WET,False,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,10/23/2016 6:46:10 PM,False,7723,Accepted,
18478532,0150300,MT. WASHINGTON POLICE DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.038385900,-85.560484100,21.596,10/20/2016 12:00:00 AM,0648,1,1,0,0,CLEAR,DRY,False,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY NOT LIGHTED,,,10/23/2016 6:46:04 PM,False,7723,Accepted,
18458071,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,,,,,,38.010646763,-85.659849075,15.714,10/18/2016 12:00:00 AM,1224,1,1,0,0,CLEAR,DRY,False,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DARK-HWY NOT LIGHTED,,,10/19/2016 4:59:22 AM,False,1055,Accepted,
